epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,978.443,1.79773,1.23365,1.03519,1,0.83364,0.995,0.15766,3.13621,1.48208,1.57602,0.0005219,0.0005219,0.0005219
44,995.375,2.24672,1.65796,0.97234,0.63357,1,0.82833,0.1969,3.11173,1.55287,1.54519,0.00050547,0.00050547,0.00050547
45,1012.47,1.90543,1.28672,0.96298,0.63357,1,0.82833,0.1969,3.11173,1.55287,1.54519,0.00048772,0.00048772,0.00048772
46,1031.09,2.46106,1.58112,0.96965,0.61705,1,0.82833,0.1828,3.15141,1.51755,1.52407,0.00046865,0.00046865,0.00046865
47,1047.69,2.04083,1.29152,0.93079,0.61705,1,0.82833,0.1828,3.15141,1.51755,1.52407,0.00044826,0.00044826,0.00044826
48,1064.27,1.99145,1.47761,0.97151,0.6207,1,0.82833,0.19229,3.40063,1.74062,1.72354,0.00042655,0.00042655,0.00042655
49,1081,2.3681,1.27246,0.94535,0.6207,1,0.82833,0.19229,3.40063,1.74062,1.72354,0.00040352,0.00040352,0.00040352
50,1098.54,2.1409,1.40717,1.01398,0.62959,1,0.82833,0.19023,3.49459,1.7244,1.76139,0.00037917,0.00037917,0.00037917
51,1116.88,2.77103,1.81544,1.03822,0.62959,1,0.82833,0.19023,3.49459,1.7244,1.76139,0.00035,0.00035,0.00035
52,1134.2,1.64845,1.87425,0.65261,0.63124,1,0.82833,0.14483,3.47095,1.53479,1.70186,0.000317,0.000317,0.000317
53,1150.97,1.73365,1.82065,0.67046,0.63124,1,0.82833,0.14483,3.47095,1.53479,1.70186,0.000284,0.000284,0.000284
54,1167.91,2.11374,1.27701,1.14773,0.63625,1,0.82833,0.14483,3.44187,1.36463,1.62075,0.000251,0.000251,0.000251
55,1184.83,1.96076,1.24396,1.00102,0.63625,1,0.82833,0.14483,3.44187,1.36463,1.62075,0.000218,0.000218,0.000218
56,1201.91,2.18937,2.65317,0.92248,0.63545,1,0.82833,0.14344,3.4265,1.3488,1.59357,0.000185,0.000185,0.000185
57,1219.09,2.03475,1.20383,1.02501,0.63545,1,0.82833,0.14344,3.4265,1.3488,1.59357,0.000152,0.000152,0.000152
58,1236.21,2.99666,2.00508,1.07297,0.65226,1,0.82833,0.16567,3.43442,1.37087,1.58632,0.000119,0.000119,0.000119
59,1253.03,1.8779,1.42377,0.99704,0.65226,1,0.82833,0.16567,3.43442,1.37087,1.58632,8.6e-05,8.6e-05,8.6e-05
60,1270.08,2.19316,1.32622,1.02348,0.65234,1,0.82833,0.16567,3.39997,1.36021,1.57693,5.3e-05,5.3e-05,5.3e-05
